seq_mp,entidad,id_entidad,municipio,nombre,sexo,partido,integrantes,categoria,descripcion,total_pob,hombres,mujeres,munid_sec,seq_cat,id_distrito,distrito,seccion,unidadterritotial,sede,sede_cat,seq_com,mrcp,seccion_sede,tipo_mrcp,id_mrcp,opinion_si,opinion_no,nulo,total_opiniones,lista_nominal,observaciones,recuento,fecha,seq_sec,tipo,tipo_cat,seq_dh,IDHclasif,IDHidh,IDHgdh,IDHgdh_cat,IDHtmi,IDHipca,IDHisal,IDHieduc,IDHiing,seq_dm,IDMporc_15ymas_analfabeta,IDMporc_15ymas_sinprim,IDMporc_ocu_viv_sindres,IDMporc_ocu_viv_sinel,IDMporc_ocu_viv_sinagua,IDMporc_ocu_viv_hacin,IDMporc_ocu_viv_pisotierra,IDMporc_loc_menor5k,IDMporc_pocu_2sm,IDMindice_marginacion,IDMgrado_marginacion,IDMgradomar_cat,IDMlugar_estatal,IDMlugar_nacional,seq_gin,gini,gin_ingreso,seq_rez,IR_pobtotal,IR_irs,IR_grz,IR_grz_cat,IR_lugar
1,OAXACA,20,ABEJONES,SISTEMA DE USOS Y COSTUMBRES  ,,SISTEMA DE USOS Y COSTUMBRES,,4,,,,,1,749,4,TLACOLULA DE MATAMOROS,1,6,NO,0,,,,,,,,,,,,,,749,URBANO,2,1.0,1984.0,0.578,MEDIO,1.0,32.8,503.9,0.735,0.513,0.511,1,21.5,42.1,3.97,2.72,3.74,39.91,19.36,100.0,86.79,1.077,A,3,176,355,1,0.377928,0.17633,1,841,0.815821,Medio,2,450
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,1,1,SAN JUAN BAUTISTA TUXTEPEC,2,1,SI,1,1.0,200002B01,2.0,B,1.0,93.0,0.0,1.0,94.0,1821.0,Actas de mesas receptoras,NO,2021-02-08 02:32:32,1,MIXTO,0,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,1,1,SAN JUAN BAUTISTA TUXTEPEC,2,1,SI,1,2.0,200002C01,2.0,C,1.0,77.0,0.0,0.0,77.0,1821.0,Actas de mesas receptoras,NO,2021-02-08 02:38:59,1,MIXTO,0,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,2,1,SAN JUAN BAUTISTA TUXTEPEC,3,21,SI,1,3.0,200003B01,3.0,B,1.0,290.0,1.0,2.0,293.0,1466.0,Actas de paquetes de recuento,NO,2021-02-08 02:38:47,2,URBANO,2,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,2,1,SAN JUAN BAUTISTA TUXTEPEC,3,21,SI,1,4.0,200003C01,3.0,C,1.0,230.0,0.0,0.0,230.0,1465.0,Actas de mesas receptoras,NO,2021-02-08 02:31:17,2,URBANO,2,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,3,1,SAN JUAN BAUTISTA TUXTEPEC,4,7,SI,1,5.0,200004B01,4.0,B,1.0,184.0,3.0,3.0,190.0,1817.0,Actas de mesas receptoras,NO,2021-02-08 02:31:43,3,URBANO,2,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,3,1,SAN JUAN BAUTISTA TUXTEPEC,4,7,SI,1,6.0,200004C01,4.0,C,1.0,170.0,5.0,1.0,176.0,1817.0,Actas de mesas receptoras,NO,2021-02-08 02:39:17,3,URBANO,2,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,4,1,SAN JUAN BAUTISTA TUXTEPEC,5,7,NO,0,,,,,,,,,,,,,,4,MIXTO,0,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,5,1,SAN JUAN BAUTISTA TUXTEPEC,6,39,SI,1,7.0,200006B01,6.0,B,1.0,154.0,1.0,0.0,155.0,1897.0,Actas de mesas receptoras,NO,2021-02-08 02:33:42,5,MIXTO,0,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
2,OAXACA,20,ACATLAN DE PEREZ FIGUEROA,ADAN JOSE  MACIEL  SOSA ,H,COALICION,PANPRDPMC,0,COALICION ,45167.0,21980.0,23187.0,2,5,1,SAN JUAN BAUTISTA TUXTEPEC,6,39,SI,1,8.0,200006C01,6.0,C,1.0,130.0,2.0,0.0,132.0,1897.0,Actas de mesas receptoras,NO,2021-02-08 02:34:32,5,MIXTO,0,2.0,1127.0,0.656,MEDIO,1.0,18.4,1529.8,0.858,0.485,0.679,2,14.39,34.41,5.4,2.21,14.05,37.87,8.75,70.58,65.34,0.339,A,3,359,854,2,0.43694,0.1406,2,45167,0.0667389999999999,Bajo,1,959
